Date & Time (UTC+2),Sensor 1 - Normal Irrigated (%),Sensor 2 - Non-irrigated (%)
2024-01-10 22:16:30,75,75
2024-01-10 23:16:36,75,76
2024-01-11 00:16:42,75,76
2024-01-11 01:16:48,75,75
2024-01-11 02:16:54,76,75
2024-01-11 03:16:59,77,77
2024-01-11 04:17:05,78,77
2024-01-11 05:17:11,76,76
2024-01-11 06:17:17,75,75
2024-01-11 07:17:23,73,75
2024-01-11 08:17:29,74,76
2024-01-11 09:17:34,74,76
2024-01-11 10:17:40,74,75
2024-01-11 11:17:46,73,75
2024-01-11 12:17:52,73,76
2024-01-11 13:17:58,73,76
2024-01-11 14:18:04,73,75
2024-01-11 15:18:09,74,74
2024-01-11 16:18:15,75,73
2024-01-11 17:18:21,75,74
2024-01-11 18:18:27,75,74
2024-01-11 19:18:33,75,74
2024-01-11 20:18:39,76,75
2024-01-11 21:18:45,77,76
2024-01-11 22:18:51,76,76
2024-01-11 23:18:57,75,76
2024-01-12 00:19:03,74,75
2024-01-12 01:19:09,75,75
2024-01-12 02:19:15,74,75
2024-01-12 03:19:21,75,75
2024-01-12 04:19:27,75,75
2024-01-12 05:19:33,75,75
2024-01-12 06:19:39,75,75
2024-01-12 07:19:45,75,75
2024-01-12 08:19:51,75,75
2024-01-12 09:19:57,75,74
2024-01-12 10:20:03,75,74
2024-01-12 11:20:09,75,74
2024-01-12 12:20:15,75,74
2024-01-12 13:20:21,74,74
2024-01-12 14:20:27,74,74
2024-01-12 15:20:33,74,74
2024-01-12 16:20:39,74,74
2024-01-12 17:20:45,74,74
2024-01-12 18:20:51,74,74
2024-01-12 19:20:57,74,74
2024-01-12 20:21:03,74,74
2024-01-12 21:21:09,74,74
2024-01-12 22:21:15,73,73
2024-01-12 23:21:21,73,73
2024-01-13 00:21:27,73,73
2024-01-13 01:21:33,73,73
2024-01-13 02:21:39,74,73
2024-01-13 03:21:45,75,73
2024-01-13 04:21:51,76,73
2024-01-13 05:21:57,76,72
2024-01-13 06:22:03,76,73
2024-01-13 07:22:09,76,72
2024-01-13 08:22:15,76,72
2024-01-13 09:22:21,76,71
2024-01-13 10:22:27,76,71
2024-01-13 11:22:33,76,71
2024-01-13 12:22:39,76,71
2024-01-13 13:22:45,76,70
2024-01-13 14:22:51,75,71
2024-01-13 15:22:57,75,70
2024-01-13 16:23:03,75,70
2024-01-13 17:23:09,75,70
2024-01-13 18:23:15,75,70
2024-01-13 19:23:21,74,70
2024-01-13 20:23:27,74,69
2024-01-13 21:23:33,74,68
2024-01-13 22:23:39,74,69
2024-01-13 23:23:45,75,69
2024-01-14 00:23:51,74,69
2024-01-14 01:23:57,74,68
2024-01-14 02:24:03,74,68
2024-01-14 03:24:09,74,68
2024-01-14 04:24:15,74,66
2024-01-14 05:24:21,74,67
2024-01-14 06:24:27,74,66
2024-01-14 07:24:33,74,66
2024-01-14 08:24:39,74,65
2024-01-14 09:24:45,75,65
2024-01-14 10:24:51,76,64
2024-01-14 11:24:57,77,65
2024-01-14 12:25:03,77,64
2024-01-14 13:25:09,77,63
2024-01-14 14:25:15,77,63
2024-01-14 15:25:21,77,62
2024-01-14 16:25:27,76,61
2024-01-14 17:25:33,76,61
2024-01-14 18:25:39,76,59
2024-01-14 19:25:45,76,60
2024-01-14 20:25:51,76,59
2024-01-14 21:25:57,76,59
2024-01-14 22:26:03,76,58
2024-01-14 23:26:09,76,57
2024-01-15 00:26:15,76,58
2024-01-15 01:26:21,76,57
2024-01-15 02:26:27,76,55
2024-01-15 03:26:33,76,54
2024-01-15 04:26:39,76,52
2024-01-15 05:26:45,76,53
2024-01-15 06:26:51,76,52
2024-01-15 07:26:57,75,51
2024-01-15 08:27:03,75,49
2024-01-15 09:27:09,75,48
2024-01-15 10:27:15,75,46
2024-01-15 11:27:21,75,44
2024-01-15 12:27:27,75,43
2024-01-15 13:27:33,75,42
2024-01-15 14:27:39,75,40
2024-01-15 15:27:45,75,39
2024-01-15 16:27:51,75,37
2024-01-15 17:27:57,74,37
2024-01-15 18:28:03,74,36
2024-01-15 19:28:09,75,35
2024-01-15 20:28:15,74,34
2024-01-15 21:28:21,74,33
2024-01-15 22:28:27,74,31
2024-01-15 23:28:33,74,30
2024-01-16 00:28:39,74,29
2024-01-16 01:28:45,74,27
2024-01-16 02:28:51,74,26
2024-01-16 03:28:57,74,25
2024-01-16 04:29:03,74,26
2024-01-16 05:29:09,74,25
2024-01-16 06:29:15,74,24
2024-01-16 07:29:21,73,24
2024-01-16 08:29:27,74,22
2024-01-16 09:29:33,73,21
2024-01-16 10:29:39,73,20
2024-01-16 11:29:45,73,18
2024-01-16 12:29:51,73,17
2024-01-16 13:29:57,73,17
2024-01-16 14:30:03,73,15
2024-01-16 15:30:09,73,15
2024-01-16 16:30:15,73,13
2024-01-16 17:30:21,73,13
2024-01-16 18:30:27,73,11
2024-01-16 19:30:33,73,11
2024-01-16 20:30:39,73,9
2024-01-16 21:30:45,73,9
2024-01-16 22:30:51,73,8